Year;Location;Tournament;Date;Series;Court;Surface;Round;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;PSW;PSL;EXW;EXL;LBW;LBL;SJW;SJL;UBW;UBL;CBW;CBL;IWW;IWL;SBW;SBL;B&WW;B&WL;GBW;GBL;elo_winner;elo_loser;proba_elo
2017;Melbourne;Australian Open;23/01/2017;Grand Slam;Outdoor;Hard;4th Round;Dimitrov G.;Istomin D.;15;117;2135;498;2;6;7;6;6;2;6;1;;;3;1;Completed;1,11;6,5;1,14;6,99;1,1;5,1;1,11;6;;;;;;;;;;;;;;;1936,387594;1609,293196;0,867944641
2017;Melbourne;Australian Open;23/01/2017;Grand Slam;Outdoor;Hard;4th Round;Raonic M.;Bautista Agut R.;3;14;5290;2350;7;6;3;6;6;4;6;1;;;3;1;Completed;1,2;4,5;1,29;4,09;1,2;3,7;1,22;4,33;;;;;;;;;;;;;;;1983,811906;1800,621254;0,741643866
2017;Melbourne;Australian Open;23/01/2017;Grand Slam;Outdoor;Hard;4th Round;Nadal R.;Monfils G.;9;6;3195;3625;6;3;6;3;4;6;6;4;;;3;1;Completed;1,4;3;1,43;3,1;1,35;2,7;1,4;3;;;;;;;;;;;;;;;1980,663695;1893,128704;0,623373509
2017;Melbourne;Australian Open;24/01/2017;Grand Slam;Outdoor;Hard;Quarterfinals;Wawrinka S.;Tsonga J.W.;4;12;5155;2505;7;6;6;4;6;3;;;;;3;0;Completed;1,61;2,3;1,74;2,25;1,55;2,2;1,62;2,25;;;;;;;;;;;;;;;1945,629993;1967,68826;0,468298185
2017;Melbourne;Australian Open;24/01/2017;Grand Slam;Outdoor;Hard;Quarterfinals;Federer R.;Zverev M.;17;50;1980;894;6;1;7;5;6;2;;;;;3;0;Completed;1,08;8;1,11;8,22;1,07;6;1,1;7;;;;;;;;;;;;;;;2119,012055;1732,498071;0,902468056
2017;Melbourne;Australian Open;25/01/2017;Grand Slam;Outdoor;Hard;Quarterfinals;Dimitrov G.;Goffin D.;15;11;2135;2750;6;3;6;2;6;4;;;;;3;0;Completed;1,57;2,37;1,63;2,46;1,48;2,4;1,57;2,38;;;;;;;;;;;;;;;1940,613366;1875,948589;0,592000222
2017;Melbourne;Australian Open;25/01/2017;Grand Slam;Outdoor;Hard;Quarterfinals;Nadal R.;Raonic M.;9;3;3195;5290;6;4;7;6;6;4;;;;;3;0;Completed;1,66;2,2;1,71;2,3;1,65;2,15;1,67;2,2;;;;;;;;;;;;;;;1992,715743;1992,079303;0,50091591
2017;Melbourne;Australian Open;26/01/2017;Grand Slam;Outdoor;Hard;Semifinals;Federer R.;Wawrinka S.;17;4;1980;5155;7;5;6;3;1;6;4;6;6;3;3;2;Completed;1,53;2,5;1,54;2,73;1,5;2,35;1,53;2,5;;;;;;;;;;;;;;;2122,133078;1962,644451;0,714652839
2017;Melbourne;Australian Open;27/01/2017;Grand Slam;Outdoor;Hard;Semifinals;Nadal R.;Dimitrov G.;9;15;3195;2135;6;3;5;7;7;6;6;7;6;4;3;2;Completed;1,36;3,25;1,39;3,37;1,35;2,9;1,4;3;;;;;;;;;;;;;;;2008,686434;1953,669359;0,57852072
2017;Melbourne;Australian Open;29/01/2017;Grand Slam;Outdoor;Hard;The Final;Federer R.;Nadal R.;17;9;1980;3195;6;4;3;6;6;1;3;6;6;3;3;2;Completed;2,2;1,72;2,25;1,75;1,95;1,75;2,1;1,8;;;;;;;;;;;;;;;2131,264187;2022,173771;0,652030138
